description,is_scam
"Dad, sending money for school fees. Check your email for details.",0
Donation payment for charity. Urgent request.,0
Client invoice cleared. Please process as soon as possible.,0
"Transfer ₹20,000 to secure your deposit. Please process as soon as possible.",1
"Refund processed, share OTP to confirm. Best regards.",1
Movie tickets payment. ,0
"You've won ₹10,000, click here to claim. Please process as soon as possible.",1
"Transfer ₹20,000 to secure your deposit. Reminder: payment due today.",1
Client invoice cleared. Let me know once paid.,0
Update your KYC to avoid account block. Reminder: payment due today.,1
Grocery shopping payment. Check your email for details.,0
Donation payment for charity. Let me know once paid.,0
"Immediate action required, verify your account. Use UPI to complete.",1
Recharge for Jio plan. Use UPI to complete.,0
"Get reward, pay small fee now. Please process as soon as possible.",1
Your account will be suspended unless you verify now. Let me know once paid.,1
Movie tickets payment. Reminder: payment due today.,0
Salary payment. Let me know once paid.,0
"Your ATM card expired, activate immediately. Please process as soon as possible.",1
Your account will be suspended unless you verify now. ,1
Movie tickets payment. ,0
"Immediate action required, verify your account. Let me know once paid.",1
Government notice: Clear pending taxes urgently. ,1
Update your KYC to avoid account block. Urgent request.,1
Click this link to avoid penalty. Reminder: payment due today.,1
"Emergency: Family member in hospital, send funds urgently. Let me know once paid.",1
Purchase at electronics store. Let me know once paid.,0
Travel advance. Reminder: payment due today.,0
Travel advance. Please process as soon as possible.,0
Hospital bill for emergency. Use UPI to complete.,0
Payment for freelance services. Use UPI to complete.,0
"Immediate action required, verify your account. Transaction completed.",1
Client invoice cleared. Let me know once paid.,0
Salary payment. Transaction completed.,0
Congratulations! You won a lucky draw. Urgent request.,1
"You've won ₹10,000, click here to claim. Reminder: payment due today.",1
"Payment failed, verify details here. Please process as soon as possible.",1
Purchase at electronics store. Use UPI to complete.,0
"Get reward, pay small fee now. ",1
"Dad, sending money for school fees. Transaction completed.",0
"Loan pre-approved, click to receive funds. ",1
"Refund processed, share OTP to confirm. ",1
Tuition fees payment. Please process as soon as possible.,0
"Transfer ₹20,000 to secure your deposit. ",1
"Transfer ₹20,000 to secure your deposit. Check your email for details.",1
"Payment failed, verify details here. ",1
"Get reward, pay small fee now. Best regards.",1
"Amazon: Package delivery issue, update payment. Let me know once paid.",1
Salary payment. Use UPI to complete.,0
Hospital bill for emergency. Best regards.,0
Monthly rent for accommodation. ,0
Transport reimbursement. Urgent request.,0
Your account will be suspended unless you verify now. Reminder: payment due today.,1
"Dad, sending money for school fees. Use UPI to complete.",0
Transport reimbursement. Best regards.,0
Movie tickets payment. Check your email for details.,0
"Immediate action required, verify your account. Reminder: payment due today.",1
Travel advance. Check your email for details.,0
Bank alert: Confirm password to restore your account. Please process as soon as possible.,1
"Loan pre-approved, click to receive funds. Check your email for details.",1
Purchase at electronics store. Check your email for details.,0
Regular maintenance payment. Reminder: payment due today.,0
Travel advance. Reminder: payment due today.,0
Payment for freelance services. Reminder: payment due today.,0
"Payment gateway error, re-enter card details. Best regards.",1
Subscription payment for mobile app. Use UPI to complete.,0
"Suspicious transaction detected, click to verify. Use UPI to complete.",1
"Immediate action required, verify your account. Reminder: payment due today.",1
Hospital bill for emergency. Use UPI to complete.,0
"You've won ₹10,000, click here to claim. ",1
Uber ride payment. Transaction completed.,0
Send ₹500 to verify your UPI. ,1
Friend paid for lunch. Let me know once paid.,0
Subscription payment for mobile app. Urgent request.,0
Send ₹500 to verify your UPI. Urgent request.,1
Your account will be suspended unless you verify now. Transaction completed.,1
Friend paid for lunch. Urgent request.,0
Transport reimbursement. Urgent request.,0
Subscription payment for mobile app. Transaction completed.,0
Grocery shopping payment. Best regards.,0
Government notice: Clear pending taxes urgently. Let me know once paid.,1
Payment for freelance services. Reminder: payment due today.,0
"Emergency: Family member in hospital, send funds urgently. Best regards.",1
Friend paid for lunch. Please process as soon as possible.,0
Regular maintenance payment. Reminder: payment due today.,0
Congratulations! You won a lucky draw. Transaction completed.,1
"You've won ₹10,000, click here to claim. Urgent request.",1
Payment for freelance services. Transaction completed.,0
"Amazon: Package delivery issue, update payment. Let me know once paid.",1
"Immediate action required, verify your account. Please process as soon as possible.",1
Client invoice cleared. ,0
Salary payment. Best regards.,0
"Payment gateway error, re-enter card details. Let me know once paid.",1
Transport reimbursement. Transaction completed.,0
Movie tickets payment. Let me know once paid.,0
"Emergency: Family member in hospital, send funds urgently. Check your email for details.",1
Uber ride payment. Please process as soon as possible.,0
Uber ride payment. Check your email for details.,0
Congratulations! You won a lucky draw. Let me know once paid.,1
Bank alert: Confirm password to restore your account. Best regards.,1
"You've won ₹10,000, click here to claim. Let me know once paid.",1
Send ₹500 to verify your UPI. Use UPI to complete.,1
Tuition fees payment. Transaction completed.,0
"Suspicious transaction detected, click to verify. Transaction completed.",1
Recharge for Jio plan. Please process as soon as possible.,0
Regular maintenance payment. Reminder: payment due today.,0
Hospital bill for emergency. Use UPI to complete.,0
Movie tickets payment. Reminder: payment due today.,0
"Your mobile banking is disabled, unlock here. Use UPI to complete.",1
Salary payment. Check your email for details.,0
Update your KYC to avoid account block. Reminder: payment due today.,1
Friend paid for lunch. Check your email for details.,0
Grocery shopping payment. Urgent request.,0
Hospital bill for emergency. Use UPI to complete.,0
Hospital bill for emergency. Reminder: payment due today.,0
Congratulations! You won a lucky draw. Transaction completed.,1
Grocery shopping payment. Urgent request.,0
"Dad, sending money for school fees. Reminder: payment due today.",0
"Dad, sending money for school fees. Best regards.",0
Government notice: Clear pending taxes urgently. ,1
Travel advance. Transaction completed.,0
"Refund processed, share OTP to confirm. Use UPI to complete.",1
"Payment gateway error, re-enter card details. Let me know once paid.",1
Donation payment for charity. Urgent request.,0
Payment for freelance services. Use UPI to complete.,0
"Dad, sending money for school fees. Transaction completed.",0
Uber ride payment. Check your email for details.,0
"Your ATM card expired, activate immediately. Check your email for details.",1
"Get reward, pay small fee now. ",1
Movie tickets payment. Check your email for details.,0
Click this link to avoid penalty. ,1
Click this link to avoid penalty. Please process as soon as possible.,1
Donation payment for charity. Best regards.,0
Subscription payment for mobile app. ,0
"Refund processed, share OTP to confirm. ",1
Bank alert: Confirm password to restore your account. Use UPI to complete.,1
Grocery shopping payment. Reminder: payment due today.,0
Regular maintenance payment. Use UPI to complete.,0
Regular maintenance payment. Best regards.,0
Purchase at electronics store. Check your email for details.,0
"Dad, sending money for school fees. Reminder: payment due today.",0
"Emergency: Family member in hospital, send funds urgently. Let me know once paid.",1
Update your KYC to avoid account block. Please process as soon as possible.,1
Payment for freelance services. Urgent request.,0
Purchase at electronics store. Let me know once paid.,0
Payment for freelance services. Check your email for details.,0
Electricity bill paid. Best regards.,0
"You've won ₹10,000, click here to claim. Let me know once paid.",1
Electricity bill paid. Urgent request.,0
Regular maintenance payment. Best regards.,0
Recharge for Jio plan. Let me know once paid.,0
Subscription payment for mobile app. Reminder: payment due today.,0
"Transfer ₹20,000 to secure your deposit. Transaction completed.",1
"Amazon: Package delivery issue, update payment. Please process as soon as possible.",1
Purchase at electronics store. Transaction completed.,0
Recharge for Jio plan. Transaction completed.,0
"Payment failed, verify details here. Transaction completed.",1
Subscription payment for mobile app. ,0
"You've won ₹10,000, click here to claim. Let me know once paid.",1
Send ₹500 to verify your UPI. Let me know once paid.,1
Recharge for Jio plan. ,0
Government notice: Clear pending taxes urgently. Let me know once paid.,1
"Your ATM card expired, activate immediately. Transaction completed.",1
Hospital bill for emergency. Check your email for details.,0
Uber ride payment. ,0
"Transfer ₹20,000 to secure your deposit. ",1
Recharge for Jio plan. Best regards.,0
"Payment failed, verify details here. Urgent request.",1
"Amazon: Package delivery issue, update payment. Check your email for details.",1
Salary payment. Check your email for details.,0
Recharge for Jio plan. Let me know once paid.,0
"Emergency: Family member in hospital, send funds urgently. Please process as soon as possible.",1
"Your ATM card expired, activate immediately. Let me know once paid.",1
Uber ride payment. Urgent request.,0
Click this link to avoid penalty. Use UPI to complete.,1
Congratulations! You won a lucky draw. Check your email for details.,1
Bank alert: Confirm password to restore your account. Let me know once paid.,1
"Payment gateway error, re-enter card details. Reminder: payment due today.",1
Client invoice cleared. Urgent request.,0
"Get reward, pay small fee now. Check your email for details.",1
"Payment gateway error, re-enter card details. Reminder: payment due today.",1
Friend paid for lunch. Best regards.,0
Your account will be suspended unless you verify now. Please process as soon as possible.,1
"Get reward, pay small fee now. Please process as soon as possible.",1
Click this link to avoid penalty. Reminder: payment due today.,1
Travel advance. Urgent request.,0
Your account will be suspended unless you verify now. ,1
"Suspicious transaction detected, click to verify. Urgent request.",1
Client invoice cleared. Check your email for details.,0
"Loan pre-approved, click to receive funds. Check your email for details.",1
Electricity bill paid. Reminder: payment due today.,0
Dinner payment to Ramesh. Please process as soon as possible.,0
Uber ride payment. Urgent request.,0
Donation payment for charity. ,0
Donation payment for charity. Please process as soon as possible.,0
Dinner payment to Ramesh. Check your email for details.,0
Client invoice cleared. Let me know once paid.,0
"Refund processed, share OTP to confirm. Please process as soon as possible.",1
"Suspicious transaction detected, click to verify. Let me know once paid.",1
Bank alert: Confirm password to restore your account. Check your email for details.,1
Movie tickets payment. Let me know once paid.,0
"Payment failed, verify details here. Check your email for details.",1
Salary payment. Use UPI to complete.,0
"Payment failed, verify details here. Urgent request.",1
"Payment gateway error, re-enter card details. Reminder: payment due today.",1
Dinner payment to Ramesh. Please process as soon as possible.,0
Friend paid for lunch. Urgent request.,0
"Suspicious transaction detected, click to verify. Reminder: payment due today.",1
"Refund processed, share OTP to confirm. Check your email for details.",1
Salary payment. ,0
Subscription payment for mobile app. Let me know once paid.,0
Monthly rent for accommodation. Please process as soon as possible.,0
Send ₹500 to verify your UPI. Use UPI to complete.,1
"Get reward, pay small fee now. Use UPI to complete.",1
Hospital bill for emergency. Urgent request.,0
"You've won ₹10,000, click here to claim. Reminder: payment due today.",1
Update your KYC to avoid account block. Urgent request.,1
"Payment failed, verify details here. Best regards.",1
Government notice: Clear pending taxes urgently. Check your email for details.,1
Regular maintenance payment. Best regards.,0
"Refund processed, share OTP to confirm. Check your email for details.",1
Click this link to avoid penalty. Best regards.,1
Send ₹500 to verify your UPI. Best regards.,1
Tuition fees payment. Please process as soon as possible.,0
Payment for freelance services. ,0
Bank alert: Confirm password to restore your account. Use UPI to complete.,1
Donation payment for charity. ,0
"Emergency: Family member in hospital, send funds urgently. Check your email for details.",1
"Amazon: Package delivery issue, update payment. Best regards.",1
"Payment gateway error, re-enter card details. Transaction completed.",1
"Immediate action required, verify your account. Reminder: payment due today.",1
Recharge for Jio plan. Reminder: payment due today.,0
"Transfer ₹20,000 to secure your deposit. Reminder: payment due today.",1
"Dad, sending money for school fees. Reminder: payment due today.",0
Your account will be suspended unless you verify now. Use UPI to complete.,1
